date,log_exists,clear_by_fit,measured_MJ,ref_MJ,anchor_scaling,anchor_used,anchor_resid_log,scaling_daily,source,nrmse,A,n,sunrise,sunset,note
2025-04-11,True,False,17.68344,26.7,,,,1.232760846122676,annual_fit,0.19672405909563992,670.8218021822968,1.2400000000000007,05:53,18:07,ok
2025-04-12,True,True,21.28674,26.82,1.2599392861471506,True,0.023692279378995595,1.2304392935211632,annual_fit,0.04532763444587937,821.3053468379442,1.3200000000000007,05:38,17:57,ok
2025-04-13,True,False,1.60023,26.94,,,,1.228130746871422,annual_fit,0.30368124863504986,53.951584082639584,0.5,07:37,17:33,ok
2025-04-14,True,True,22.17204,27.05,1.2200050153256083,True,-0.00476795309386327,1.2258358314957838,annual_fit,0.02337431196143728,825.7761730386211,1.2000000000000006,05:37,18:03,ok
2025-04-15,True,False,13.6707,27.17,,,,1.2235551652663406,annual_fit,0.5073939011274059,490.7975311547772,1.0200000000000005,06:28,18:07,ok
2025-04-16,True,False,21.91158,27.28,,,,1.2212893585046307,annual_fit,0.13943940523475803,814.1798627898648,1.1500000000000006,05:33,18:09,ok
2025-04-17,True,True,21.87738,27.4,1.2524351636256261,True,0.02702693225227701,1.219039013887001,annual_fit,0.016691578354921834,830.1434523978193,1.3200000000000007,05:34,18:09,ok
2025-04-18,True,False,15.54216,27.51,,,,1.2168047263555526,annual_fit,0.19853464177647998,538.3143139331557,1.0000000000000004,05:41,18:08,ok
2025-04-19,True,True,20.331,27.63,1.3590084108012395,False,0.11235115443687285,1.2145870830345669,annual_fit,0.038877416501334056,758.8523415660754,1.2000000000000006,05:35,17:59,ok
2025-04-20,True,False,12.26424,27.74,,,,1.2123866631523152,annual_fit,0.13497470342062923,469.9689908309112,1.2100000000000006,06:10,18:02,ok
2025-04-21,True,True,24.06036,27.86,1.1579211616118794,True,-0.04416267648921457,1.2102040379681402,annual_fit,0.012500102392389592,861.0817840527468,1.2200000000000006,05:23,18:18,ok
2025-04-22,True,False,13.68096,27.97,,,,1.2080397707046986,annual_fit,0.18023210687644378,560.5227591732659,1.1500000000000006,05:42,16:39,ok
2025-04-23,True,False,8.77662,28.08,,,,1.2058944164852565,annual_fit,0.35035334308346766,304.4812552445679,0.9200000000000004,06:11,18:11,ok
